order,name,colour,shade,category,shape
1,flower1.png,180,170,A,3
2,flower2.png,180,169,B,13
3,flower3.png,180,181,B,17
4,flower4.png,180,183,A,7
5,flower5.png,210,215,A,2
6,flower6.png,210,220,A,8
7,flower7.png,210,218,B,13
8,flower8.png,210,209,B,17
9,flower9.png,240,250,B,13
10,flower10.png,240,252,B,17
11,flower11.png,240,243,A,6
12,flower12.png,240,232,A,4
13,flower13.png,270,270,B,12
14,flower14.png,270,261,B,18
15,flower15.png,270,256,A,7
16,flower16.png,270,260,A,3
17,flower17.png,300,285,A,7
18,flower18.png,300,294,A,3
19,flower19.png,300,302,B,13
20,flower20.png,300,294,B,17
21,flower21.png,330,318,A,3
22,flower22.png,330,315,B,18
23,flower23.png,330,320,B,12
24,flower24.png,330,315,A,7
25,flower25.png,0,353,A,3
26,flower26.png,0,7,B,14
27,flower27.png,0,353,A,7
28,flower28.png,0,348,B,16
29,flower29.png,30,24,B,16
30,flower30.png,30,38,B,14
31,flower31.png,30,41,A,4
32,flower32.png,30,32,A,6
33,flower33.png,60,58,B,18
34,flower34.png,60,51,A,4
35,flower35.png,60,49,B,12
36,flower36.png,60,60,A,6
37,flower37.png,90,84,A,6
38,flower38.png,90,76,A,4
39,flower39.png,90,84,B,13
40,flower40.png,90,91,B,17
41,flower41.png,120,119,B,17
42,flower42.png,120,109,A,3
43,flower43.png,120,107,B,13
44,flower44.png,120,115,A,7
45,flower45.png,150,152,B,17
46,flower46.png,150,149,A,3
47,flower47.png,150,161,A,7
48,flower48.png,150,154,B,13
