order,name,colour,shade,category,shape
1,flower1.png,300,292,A,6
2,flower2.png,300,289,B,16
3,flower3.png,300,288,B,14
4,flower4.png,300,295,A,4
5,flower5.png,330,320,B,12
6,flower6.png,330,329,B,18
7,flower7.png,330,327,A,4
8,flower8.png,330,330,A,6
9,flower9.png,0,9,B,13
10,flower10.png,0,11,A,3
11,flower11.png,0,1,B,17
12,flower12.png,0,355,A,7
13,flower13.png,30,29,A,3
14,flower14.png,30,40,B,18
15,flower15.png,30,27,A,7
16,flower16.png,30,21,B,12
17,flower17.png,60,48,A,7
18,flower18.png,60,54,A,3
19,flower19.png,60,48,B,13
20,flower20.png,60,60,B,17
21,flower21.png,90,84,A,2
22,flower22.png,90,96,B,16
23,flower23.png,90,99,A,8
24,flower24.png,90,88,B,14
25,flower25.png,120,115,A,3
26,flower26.png,120,124,B,12
27,flower27.png,120,119,A,7
28,flower28.png,120,108,B,18
29,flower29.png,150,143,B,18
30,flower30.png,150,142,A,6
31,flower31.png,150,158,A,4
32,flower32.png,150,155,B,12
33,flower33.png,180,188,A,8
34,flower34.png,180,174,B,14
35,flower35.png,180,182,A,2
36,flower36.png,180,169,B,16
37,flower37.png,210,200,B,18
38,flower38.png,210,198,B,12
39,flower39.png,210,197,A,3
40,flower40.png,210,195,A,7
41,flower41.png,240,231,B,14
42,flower42.png,240,249,A,3
43,flower43.png,240,252,A,7
44,flower44.png,240,245,B,16
45,flower45.png,270,277,B,18
46,flower46.png,270,268,A,3
47,flower47.png,270,264,A,7
48,flower48.png,270,270,B,12
