order,name,colour,shade,category,shape
1,flower1.png,270,267,A,3
2,flower2.png,270,272,A,7
3,flower3.png,270,262,B,16
4,flower4.png,270,275,B,14
5,flower5.png,300,296,A,3
6,flower6.png,300,305,A,7
7,flower7.png,300,315,B,12
8,flower8.png,300,310,B,18
9,flower9.png,330,345,A,3
10,flower10.png,330,333,B,17
11,flower11.png,330,339,B,13
12,flower12.png,330,328,A,7
13,flower13.png,0,7,A,2
14,flower14.png,0,4,B,13
15,flower15.png,0,7,B,17
16,flower16.png,0,14,A,8
17,flower17.png,30,43,A,8
18,flower18.png,30,40,B,12
19,flower19.png,30,36,A,2
20,flower20.png,30,29,B,18
21,flower21.png,60,55,B,13
22,flower22.png,60,46,A,6
23,flower23.png,60,55,B,17
24,flower24.png,60,60,A,4
25,flower25.png,90,84,A,2
26,flower26.png,90,78,B,13
27,flower27.png,90,89,A,8
28,flower28.png,90,91,B,17
29,flower29.png,120,119,B,17
30,flower30.png,120,115,B,13
31,flower31.png,120,129,A,8
32,flower32.png,120,117,A,2
33,flower33.png,150,155,B,16
34,flower34.png,150,159,A,6
35,flower35.png,150,160,A,4
36,flower36.png,150,147,B,14
37,flower37.png,180,182,B,18
38,flower38.png,180,193,B,12
39,flower39.png,180,183,A,3
40,flower40.png,180,171,A,7
41,flower41.png,210,202,B,17
42,flower42.png,210,219,A,8
43,flower43.png,210,220,A,2
44,flower44.png,210,213,B,13
45,flower45.png,240,255,B,17
46,flower46.png,240,238,A,7
47,flower47.png,240,243,A,3
48,flower48.png,240,230,B,13
