order,name,colour,shade,category,shape
1,flower1.png,90,79,B,13
2,flower2.png,90,79,A,4
3,flower3.png,90,89,A,6
4,flower4.png,90,89,B,17
5,flower5.png,120,116,A,6
6,flower6.png,120,115,B,17
7,flower7.png,120,110,A,4
8,flower8.png,120,124,B,13
9,flower9.png,150,162,B,13
10,flower10.png,150,150,A,7
11,flower11.png,150,147,B,17
12,flower12.png,150,141,A,3
13,flower13.png,180,177,A,8
14,flower14.png,180,187,A,2
15,flower15.png,180,172,B,14
16,flower16.png,180,171,B,16
17,flower17.png,210,202,A,2
18,flower18.png,210,198,B,17
19,flower19.png,210,201,A,8
20,flower20.png,210,212,B,13
21,flower21.png,240,254,A,3
22,flower22.png,240,242,B,13
23,flower23.png,240,226,A,7
24,flower24.png,240,241,B,17
25,flower25.png,270,275,A,4
26,flower26.png,270,272,B,16
27,flower27.png,270,261,A,6
28,flower28.png,270,261,B,14
29,flower29.png,300,286,B,18
30,flower30.png,300,295,A,4
31,flower31.png,300,297,B,12
32,flower32.png,300,304,A,6
33,flower33.png,330,335,B,18
34,flower34.png,330,329,A,3
35,flower35.png,330,320,B,12
36,flower36.png,330,322,A,7
37,flower37.png,0,1,A,7
38,flower38.png,0,1,A,3
39,flower39.png,0,353,B,17
40,flower40.png,0,7,B,13
41,flower41.png,30,37,B,14
42,flower42.png,30,30,A,3
43,flower43.png,30,29,A,7
44,flower44.png,30,35,B,16
45,flower45.png,60,61,B,16
46,flower46.png,60,57,A,7
47,flower47.png,60,50,B,14
48,flower48.png,60,49,A,3
