order,name,colour,shade,category,shape
1,flower1.png,0,350,B,12
2,flower2.png,0,351,A,3
3,flower3.png,0,352,A,7
4,flower4.png,0,9,B,18
5,flower5.png,30,39,A,3
6,flower6.png,30,35,B,14
7,flower7.png,30,32,B,16
8,flower8.png,30,26,A,7
9,flower9.png,60,53,A,8
10,flower10.png,60,45,B,13
11,flower11.png,60,50,B,17
12,flower12.png,60,60,A,2
13,flower13.png,90,84,A,3
14,flower14.png,90,88,B,14
15,flower15.png,90,97,A,7
16,flower16.png,90,98,B,16
17,flower17.png,120,129,A,4
18,flower18.png,120,119,B,13
19,flower19.png,120,117,B,17
20,flower20.png,120,117,A,6
21,flower21.png,150,155,A,2
22,flower22.png,150,164,A,8
23,flower23.png,150,153,B,17
24,flower24.png,150,149,B,13
25,flower25.png,180,184,A,3
26,flower26.png,180,183,A,7
27,flower27.png,180,193,B,17
28,flower28.png,180,184,B,13
29,flower29.png,210,216,B,17
30,flower30.png,210,208,A,7
31,flower31.png,210,211,B,13
32,flower32.png,210,210,A,3
33,flower33.png,240,251,B,18
34,flower34.png,240,237,A,8
35,flower35.png,240,229,B,12
36,flower36.png,240,229,A,2
37,flower37.png,270,268,B,16
38,flower38.png,270,272,A,3
39,flower39.png,270,275,B,14
40,flower40.png,270,277,A,7
41,flower41.png,300,298,B,16
42,flower42.png,300,309,B,14
43,flower43.png,300,307,A,4
44,flower44.png,300,299,A,6
45,flower45.png,330,327,B,17
46,flower46.png,330,317,A,7
47,flower47.png,330,318,B,13
48,flower48.png,330,323,A,3
