order,name,colour,shade,category,shape
1,flower1.png,60,61,A,7
2,flower2.png,60,73,B,12
3,flower3.png,60,74,A,3
4,flower4.png,60,69,B,18
5,flower5.png,90,93,B,12
6,flower6.png,90,97,A,7
7,flower7.png,90,90,A,3
8,flower8.png,90,100,B,18
9,flower9.png,120,132,A,7
10,flower10.png,120,134,B,17
11,flower11.png,120,127,A,3
12,flower12.png,120,120,B,13
13,flower13.png,150,158,A,4
14,flower14.png,150,148,A,6
15,flower15.png,150,151,B,18
16,flower16.png,150,147,B,12
17,flower17.png,180,182,A,4
18,flower18.png,180,174,A,6
19,flower19.png,180,171,B,16
20,flower20.png,180,166,B,14
21,flower21.png,210,197,A,3
22,flower22.png,210,203,B,18
23,flower23.png,210,212,A,7
24,flower24.png,210,210,B,12
25,flower25.png,240,251,A,3
26,flower26.png,240,251,A,7
27,flower27.png,240,247,B,16
28,flower28.png,240,250,B,14
29,flower29.png,270,280,B,17
30,flower30.png,270,280,A,2
31,flower31.png,270,274,A,8
32,flower32.png,270,269,B,13
33,flower33.png,300,291,B,18
34,flower34.png,300,293,B,12
35,flower35.png,300,292,A,3
36,flower36.png,300,297,A,7
37,flower37.png,330,323,B,12
38,flower38.png,330,330,B,18
39,flower39.png,330,328,A,2
40,flower40.png,330,324,A,8
41,flower41.png,0,3,B,17
42,flower42.png,0,2,B,13
43,flower43.png,0,349,A,8
44,flower44.png,0,359,A,2
45,flower45.png,30,31,B,17
46,flower46.png,30,42,A,6
47,flower47.png,30,44,B,13
48,flower48.png,30,40,A,4
